172.22.0.1 - - [08/Nov/2019:00:38:32 +0000] "GET /mywork/form HTTP/1.1" 200 3499
172.22.0.1 - - [08/Nov/2019:00:38:41 +0000] "GET /mywork/mycreature HTTP/1.1" 200 6397
172.22.0.1 - - [08/Nov/2019:00:38:43 +0000] "GET /mywork/memoform HTTP/1.1" 200 2483
172.22.0.1 - - [08/Nov/2019:00:38:50 +0000] "GET /mywork/memoform HTTP/1.1" 200 2483
172.22.0.1 - - [08/Nov/2019:00:38:50 +0000] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 1106
172.22.0.1 - - [08/Nov/2019:00:38:50 +0000] "GET /apple-touch-icon.png HTTP/1.1" 404 1094
172.22.0.1 - - [08/Nov/2019:00:38:50 +0000] "GET /favicon.ico HTTP/1.1" 200 21630
172.22.0.1 - - [08/Nov/2019:00:39:17 +0000] "GET /mywork/memoform HTTP/1.1" 200 2483
172.22.0.1 - - [08/Nov/2019:00:39:17 +0000] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 1106
172.22.0.1 - - [08/Nov/2019:00:39:18 +0000] "GET /apple-touch-icon.png HTTP/1.1" 404 1094
172.22.0.1 - - [08/Nov/2019:00:39:18 +0000] "GET /favicon.ico HTTP/1.1" 200 21630
172.22.0.1 - - [08/Nov/2019:00:39:29 +0000] "GET /mywork/memoform HTTP/1.1" 200 2483
172.22.0.1 - - [08/Nov/2019:00:39:29 +0000] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 1106
172.22.0.1 - - [08/Nov/2019:00:39:29 +0000] "GET /apple-touch-icon.png HTTP/1.1" 404 1094
172.22.0.1 - - [08/Nov/2019:00:39:29 +0000] "GET /favicon.ico HTTP/1.1" 200 21630
172.22.0.1 - - [08/Nov/2019:00:39:55 +0000] "GET /mywork/memoform HTTP/1.1" 200 2483
172.22.0.1 - - [08/Nov/2019:00:39:55 +0000] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 1106
172.22.0.1 - - [08/Nov/2019:00:39:55 +0000] "GET /apple-touch-icon.png HTTP/1.1" 404 1094
172.22.0.1 - - [08/Nov/2019:00:39:55 +0000] "GET /favicon.ico HTTP/1.1" 200 21630
172.22.0.1 - - [08/Nov/2019:00:44:26 +0000] "GET /mywork/memoform HTTP/1.1" 200 2483
172.22.0.1 - - [08/Nov/2019:00:44:26 +0000] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 1106
172.22.0.1 - - [08/Nov/2019:00:44:26 +0000] "GET /apple-touch-icon.png HTTP/1.1" 404 1094
172.22.0.1 - - [08/Nov/2019:00:44:26 +0000] "GET /favicon.ico HTTP/1.1" 200 21630
172.22.0.1 - - [08/Nov/2019:00:44:44 +0000] "GET /mywork/memoform HTTP/1.1" 200 2483
172.22.0.1 - - [08/Nov/2019:00:44:44 +0000] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 1106
